dataset,method,num_samples,seed,true_metric
gsm8k,RDS+ (RR),2500,0,70.35633055344958
gsm8k,RDS+ (RR),2500,1,69.82562547384383
gsm8k,RDS+ (RR),2500,2,71.4177407126611
gsm8k,RDS+ (RR),5000,0,69.97725549658831
gsm8k,RDS+ (RR),5000,1,69.14329037149356
gsm8k,RDS+ (RR),5000,2,69.52236542835482
gsm8k,RDS+ (RR),10000,0,72.25170583775588
gsm8k,RDS+ (RR),10000,1,70.9628506444276
gsm8k,RDS+ (RR),10000,2,71.19029567854435
gsm8k,LESS (DG),500,0,68.23351023502654
gsm8k,LESS (DG),500,1,66.33813495072025
gsm8k,LESS (DG),500,2,67.70280515542078
gsm8k,LESS (DG),1000,0,71.79681576952237
gsm8k,LESS (DG),1000,1,70.50796057619408
gsm8k,LESS (DG),1000,2,71.2661106899166
gsm8k,LESS (DG),2500,0,70.65959059893859
gsm8k,LESS (DG),2500,1,71.2661106899166
gsm8k,LESS (DG),2500,2,70.43214556482184
gsm8k,LESS (DG),5000,0,72.85822592873389
gsm8k,LESS (DG),5000,1,72.47915087187263
gsm8k,LESS (DG),5000,2,71.4177407126611
gsm8k,LESS (DG),10000,0,73.54056103108415
gsm8k,LESS (DG),10000,1,73.08567096285064
gsm8k,LESS (DG),10000,2,73.91963608794542
gsm8k,LESS (UOT),500,0,67.85443517816528
gsm8k,LESS (UOT),500,1,68.00606520090979
gsm8k,LESS (UOT),500,2,68.46095526914328
gsm8k,LESS (UOT),1000,0,70.50796057619408
gsm8k,LESS (UOT),1000,1,70.20470053070508
gsm8k,LESS (UOT),1000,2,72.02426080363912
gsm8k,LESS (UOT),2500,0,71.2661106899166
gsm8k,LESS (UOT),2500,1,69.59818043972706
gsm8k,LESS (UOT),2500,2,71.2661106899166
gsm8k,LESS (UOT),5000,0,72.10007581501138
gsm8k,LESS (UOT),5000,1,72.47915087187263
gsm8k,LESS (UOT),5000,2,73.38893100833965
gsm8k,LESS (UOT),10000,0,74.29871114480667
gsm8k,LESS (UOT),10000,1,74.37452615617892
gsm8k,LESS (UOT),10000,2,73.4647460197119
gsm8k,LESS (RR),500,0,65.65579984836998
gsm8k,LESS (RR),500,1,68.00606520090979
gsm8k,LESS (RR),500,2,67.55117513267626
gsm8k,LESS (RR),1000,0,71.49355572403337
gsm8k,LESS (RR),1000,1,71.4177407126611
gsm8k,LESS (RR),1000,2,71.03866565579985
gsm8k,LESS (RR),2500,0,70.58377558756634
gsm8k,LESS (RR),2500,1,70.81122062168309
gsm8k,LESS (RR),2500,2,70.50796057619408
gsm8k,LESS (RR),5000,0,72.47915087187263
gsm8k,LESS (RR),5000,1,71.03866565579985
gsm8k,LESS (RR),5000,2,72.93404094010614
gsm8k,LESS (RR),10000,0,72.85822592873389
gsm8k,LESS (RR),10000,1,73.4647460197119
gsm8k,LESS (RR),10000,2,74.45034116755117
gsm8k,LESS (KNN-Unif.),500,0,67.55117513267626
gsm8k,LESS (KNN-Unif.),500,1,68.30932524639879
gsm8k,LESS (KNN-Unif.),500,2,68.46095526914328
gsm8k,LESS (KNN-Unif.),1000,0,71.94844579226687
gsm8k,LESS (KNN-Unif.),1000,1,72.78241091736164
gsm8k,LESS (KNN-Unif.),1000,2,71.64518574677786
gsm8k,LESS (KNN-Unif.),2500,0,71.34192570128886
gsm8k,LESS (KNN-Unif.),2500,1,70.35633055344958
gsm8k,LESS (KNN-Unif.),2500,2,71.4177407126611
gsm8k,LESS (KNN-Unif.),5000,0,72.02426080363912
gsm8k,LESS (KNN-Unif.),5000,1,72.55496588324488
gsm8k,LESS (KNN-Unif.),5000,2,71.72100075815011
gsm8k,LESS (KNN-Unif.),10000,0,73.0098559514784
gsm8k,LESS (KNN-Unif.),10000,1,73.3131159969674
gsm8k,LESS (KNN-Unif.),10000,2,73.08567096285064
gsm8k,LESS (KNN-KDE),500,0,67.70280515542078
gsm8k,LESS (KNN-KDE),500,1,67.39954510993176
gsm8k,LESS (KNN-KDE),500,2,68.08188021228203
gsm8k,LESS (KNN-KDE),1000,0,71.64518574677786
gsm8k,LESS (KNN-KDE),1000,1,73.0098559514784
gsm8k,LESS (KNN-KDE),1000,2,72.63078089461713
gsm8k,LESS (KNN-KDE),2500,0,70.9628506444276
gsm8k,LESS (KNN-KDE),2500,1,72.78241091736164
gsm8k,LESS (KNN-KDE),2500,2,71.56937073540561
gsm8k,LESS (KNN-KDE),5000,0,73.23730098559514
gsm8k,LESS (KNN-KDE),5000,1,72.93404094010614
gsm8k,LESS (KNN-KDE),5000,2,72.93404094010614
gsm8k,LESS (KNN-KDE),10000,0,74.82941622441244
gsm8k,LESS (KNN-KDE),10000,1,72.78241091736164
gsm8k,LESS (KNN-KDE),10000,2,74.14708112206216
tydiqa,Random,500,0,54.29805331434264
tydiqa,Random,500,1,52.98871060233589
tydiqa,Random,500,2,55.38387841133377
tydiqa,Random,1000,0,55.49291566851381
tydiqa,Random,1000,1,55.774620719056145
tydiqa,Random,1000,2,56.8880404925809
tydiqa,Random,2500,0,57.63332993026164
tydiqa,Random,2500,1,58.27687350099937
tydiqa,Random,2500,2,58.19923000576203
tydiqa,Random,5000,0,58.41800447966617
tydiqa,Random,5000,1,59.0332160101907
tydiqa,Random,5000,2,58.87476450398786
tydiqa,Random,10000,0,59.7808009518417
tydiqa,Random,10000,1,59.52045318290296
tydiqa,Random,10000,2,59.70759790387169
tydiqa,EMBED (RR),500,0,53.69812713540385
tydiqa,EMBED (RR),500,1,52.35205611712513
tydiqa,EMBED (RR),500,2,53.94282388455911
tydiqa,EMBED (RR),1000,0,54.9251765315415
tydiqa,EMBED (RR),1000,1,54.721411405882634
tydiqa,EMBED (RR),1000,2,56.039298234263306
tydiqa,EMBED (RR),2500,0,56.95662792277408
tydiqa,EMBED (RR),2500,1,55.832457575428535
tydiqa,EMBED (RR),2500,2,56.56705004327497
tydiqa,EMBED (RR),5000,0,57.751553777093896
