dataset,method,num_samples,dev,test,seed
codex,LESS (DG),10000,0.5715375673025846,0.7496398949139828,1
codex,LESS (DG),10000,0.5786237102001905,0.7551103545403158,2
codex,LESS (KNN-KDE),500,0.47846613731235266,0.6235033354747135,0
codex,LESS (KNN-KDE),500,0.47988237999379635,0.6250548566112647,1
codex,LESS (KNN-KDE),500,0.4727084543555975,0.6178771278544052,2
codex,LESS (KNN-KDE),1000,0.4560361336916685,0.6074459318172287,0
codex,LESS (KNN-KDE),1000,0.4533282434567809,0.6055580420369232,1
codex,LESS (KNN-KDE),1000,0.4625088544562459,0.6141250246783366,2
codex,LESS (KNN-KDE),2500,0.4297582386061549,0.5939699369105133,0
codex,LESS (KNN-KDE),2500,0.46697808243334293,0.6338500041212585,1
codex,LESS (KNN-KDE),2500,0.4512325031682849,0.6243427979281625,2
codex,LESS (KNN-KDE),5000,0.49775545857846737,0.6610884597978076,0
codex,LESS (KNN-KDE),5000,0.484471095725894,0.6567299948954904,1
codex,LESS (KNN-KDE),5000,0.45078935474157333,0.6261667220072972,2
codex,LESS (KNN-KDE),10000,0.5276811756193638,0.7043342343657404,0
codex,LESS (KNN-KDE),10000,0.5268345363438129,0.703444461967494,1
codex,LESS (KNN-KDE),10000,0.5424984749406576,0.7161870821303612,2
codex,LESS (KNN-Unif.),500,0.4769776798784733,0.6246701907366514,0
codex,LESS (KNN-Unif.),500,0.48251068592071533,0.6296869962400681,1
codex,LESS (KNN-Unif.),500,0.47380080819129944,0.621597185126833,2
codex,LESS (KNN-Unif.),1000,0.4554662173613906,0.6103876392684273,0
codex,LESS (KNN-Unif.),1000,0.4488667929545045,0.6036010709263988,1
codex,LESS (KNN-Unif.),1000,0.45971664134413004,0.6140952068506866,2
codex,LESS (KNN-Unif.),2500,0.45017884112894535,0.6218800505975614,0
codex,LESS (KNN-Unif.),2500,0.4546909248456359,0.6267265435308218,1
codex,LESS (KNN-Unif.),2500,0.4390382347628474,0.6107528067219097,2
codex,LESS (KNN-Unif.),5000,0.4814958795905113,0.6647314194690537,0
codex,LESS (KNN-Unif.),5000,0.48839687183499336,0.6608735550497029,1
codex,LESS (KNN-Unif.),5000,0.47893174551427364,0.6533094287120007,2
codex,LESS (KNN-Unif.),10000,0.5130103640258312,0.6999795808381325,0
codex,LESS (KNN-Unif.),10000,0.5417006276547909,0.7140769242636256,1
codex,LESS (KNN-Unif.),10000,0.4939071461558342,0.6671365336389155,2
codex,LESS (RR),500,0.4842624356970191,0.6350169650002105,0
codex,LESS (RR),500,0.48858650121837854,0.6354882838959629,1
codex,LESS (RR),500,0.47860467061400414,0.6261926002397731,2
codex,LESS (RR),1000,0.5025843530893326,0.6584452631304393,0
codex,LESS (RR),1000,0.5082209464162588,0.6584078328230897,1
codex,LESS (RR),1000,0.5063173472881317,0.6650451939250972,2
codex,LESS (RR),2500,0.5243085436522961,0.6900437335307533,0
codex,LESS (RR),2500,0.5202128067612648,0.6844115993259726,1
codex,LESS (RR),2500,0.5400281343609095,0.7003258496925637,2
codex,LESS (RR),5000,0.5432537496089935,0.7124662085159404,0
codex,LESS (RR),5000,0.5553515292704105,0.7212009614182485,1
codex,LESS (RR),5000,0.5634059403091669,0.7271759871494126,2
codex,LESS (RR),10000,0.5828627180308104,0.755006557783565,0
