dataset,method,num_samples,seed,true_metric
gsm8k,Random,500,0,14.101592115238818
gsm8k,Random,500,1,14.783927217589083
gsm8k,Random,500,2,14.404852160727824
gsm8k,Random,1000,0,13.495072024260804
gsm8k,Random,1000,1,15.769522365428355
gsm8k,Random,1000,2,15.769522365428355
gsm8k,Random,2500,0,16.224412433661865
gsm8k,Random,2500,1,16.755117513267628
gsm8k,Random,2500,2,17.210007581501138
gsm8k,Random,5000,0,16.52767247915087
gsm8k,Random,5000,1,17.589082638362395
gsm8k,Random,5000,2,16.07278241091736
gsm8k,Random,10000,0,17.437452615617893
gsm8k,Random,10000,1,18.27141774071266
gsm8k,Random,10000,2,16.224412433661865
gsm8k,EMBED (RR),500,0,19.63608794541319
gsm8k,EMBED (RR),500,1,18.27141774071266
gsm8k,EMBED (RR),500,2,19.105382865807428
gsm8k,EMBED (RR),1000,0,16.300227445034114
gsm8k,EMBED (RR),1000,1,17.81652767247915
gsm8k,EMBED (RR),1000,2,17.437452615617893
gsm8k,EMBED (RR),2500,0,19.63608794541319
gsm8k,EMBED (RR),2500,1,18.72630780894617
gsm8k,EMBED (RR),2500,2,19.257012888551934
gsm8k,EMBED (RR),5000,0,22.592873388931007
gsm8k,EMBED (RR),5000,1,22.896133434420015
gsm8k,EMBED (RR),5000,2,21.30401819560273
gsm8k,EMBED (RR),10000,0,21.910538286580746
gsm8k,EMBED (RR),10000,1,22.896133434420015
gsm8k,EMBED (RR),10000,2,23.57846853677028
gsm8k,RDS+ (RR),500,0,19.56027293404094
gsm8k,RDS+ (RR),500,1,19.787717968157693
gsm8k,RDS+ (RR),500,2,18.953752843062926
gsm8k,RDS+ (RR),1000,0,22.744503411675513
gsm8k,RDS+ (RR),1000,1,22.289613343442003
gsm8k,RDS+ (RR),1000,2,21.455648218347235
gsm8k,RDS+ (RR),2500,0,22.744503411675513
gsm8k,RDS+ (RR),2500,1,22.517058377558758
gsm8k,RDS+ (RR),2500,2,21.75890826383624
gsm8k,RDS+ (RR),5000,0,23.502653525398028
gsm8k,RDS+ (RR),5000,1,22.744503411675513
gsm8k,RDS+ (RR),5000,2,22.744503411675513
gsm8k,RDS+ (RR),10000,0,23.88172858225929
gsm8k,RDS+ (RR),10000,1,24.564063684609554
gsm8k,RDS+ (RR),10000,2,24.184988627748293
gsm8k,LESS (DG),500,0,18.877937831690677
gsm8k,LESS (DG),500,1,19.63608794541319
gsm8k,LESS (DG),500,2,18.802122820318424
gsm8k,LESS (DG),1000,0,19.48445792266869
gsm8k,LESS (DG),1000,1,19.63608794541319
gsm8k,LESS (DG),1000,2,19.408642911296436
gsm8k,LESS (DG),2500,0,20.621683093252464
gsm8k,LESS (DG),2500,1,20.773313115996967
gsm8k,LESS (DG),2500,2,20.39423805913571
gsm8k,LESS (DG),5000,0,20.39423805913571
gsm8k,LESS (DG),5000,1,21.37983320697498
gsm8k,LESS (DG),5000,2,20.166793025018954
gsm8k,LESS (DG),10000,0,21.75890826383624
gsm8k,LESS (DG),10000,1,22.365428354814256
gsm8k,LESS (DG),10000,2,23.047763457164518
gsm8k,LESS (UOT),500,0,18.57467778620167
gsm8k,LESS (UOT),500,1,18.423047763457166
gsm8k,LESS (UOT),500,2,18.347232752084913
