dataset,method,num_samples,seed,true_metric
codex,LESS (UOT),2500,0,81.75675675675676
codex,LESS (UOT),2500,1,83.78378378378379
codex,LESS (UOT),2500,2,81.75675675675676
codex,LESS (UOT),5000,0,81.75675675675676
codex,LESS (UOT),5000,1,79.72972972972973
codex,LESS (UOT),5000,2,78.37837837837837
codex,LESS (UOT),10000,0,79.05405405405406
codex,LESS (UOT),10000,1,79.72972972972973
codex,LESS (UOT),10000,2,78.37837837837837
codex,LESS (RR),500,0,85.8108108108108
codex,LESS (RR),500,1,79.05405405405406
codex,LESS (RR),500,2,80.4054054054054
codex,LESS (RR),1000,0,79.72972972972973
codex,LESS (RR),1000,1,79.72972972972973
codex,LESS (RR),1000,2,80.4054054054054
codex,LESS (RR),2500,0,80.4054054054054
codex,LESS (RR),2500,1,79.72972972972973
codex,LESS (RR),2500,2,81.75675675675676
codex,LESS (RR),5000,0,81.08108108108108
codex,LESS (RR),5000,1,81.08108108108108
codex,LESS (RR),5000,2,82.43243243243244
codex,LESS (RR),10000,0,79.72972972972973
codex,LESS (RR),10000,1,78.37837837837837
codex,LESS (RR),10000,2,79.05405405405406
codex,LESS (KNN-Unif.),500,0,79.05405405405406
codex,LESS (KNN-Unif.),500,1,84.45945945945947
codex,LESS (KNN-Unif.),500,2,82.43243243243244
codex,LESS (KNN-Unif.),1000,0,83.1081081081081
codex,LESS (KNN-Unif.),1000,1,78.37837837837837
codex,LESS (KNN-Unif.),1000,2,83.78378378378379
codex,LESS (KNN-Unif.),2500,0,81.08108108108108
codex,LESS (KNN-Unif.),2500,1,84.45945945945947
codex,LESS (KNN-Unif.),2500,2,81.08108108108108
codex,LESS (KNN-Unif.),5000,0,81.08108108108108
codex,LESS (KNN-Unif.),5000,1,78.37837837837837
codex,LESS (KNN-Unif.),5000,2,82.43243243243244
codex,LESS (KNN-Unif.),10000,0,81.75675675675676
codex,LESS (KNN-Unif.),10000,1,77.02702702702703
codex,LESS (KNN-Unif.),10000,2,81.08108108108108
codex,LESS (KNN-KDE),500,0,79.72972972972973
codex,LESS (KNN-KDE),500,1,81.75675675675676
codex,LESS (KNN-KDE),500,2,78.37837837837837
codex,LESS (KNN-KDE),1000,0,77.7027027027027
codex,LESS (KNN-KDE),1000,1,76.35135135135135
codex,LESS (KNN-KDE),1000,2,80.4054054054054
codex,LESS (KNN-KDE),2500,0,77.02702702702703
codex,LESS (KNN-KDE),2500,1,79.72972972972973
codex,LESS (KNN-KDE),2500,2,80.4054054054054
codex,LESS (KNN-KDE),5000,0,81.08108108108108
codex,LESS (KNN-KDE),5000,1,81.75675675675676
codex,LESS (KNN-KDE),5000,2,83.1081081081081
codex,LESS (KNN-KDE),10000,0,79.72972972972973
codex,LESS (KNN-KDE),10000,1,83.78378378378379
codex,LESS (KNN-KDE),10000,2,79.05405405405406
gsm8k,Random,500,0,65.20090978013646
gsm8k,Random,500,1,68.7642153146323
gsm8k,Random,500,2,75.2084912812737
gsm8k,Random,1000,0,67.77862016679302
gsm8k,Random,1000,1,45.261561789234264
gsm8k,Random,1000,2,71.49355572403337
gsm8k,Random,2500,0,24.86732373009856
gsm8k,Random,2500,1,51.40257771038665
gsm8k,Random,2500,2,25.246398786959816
gsm8k,Random,5000,0,15.99696739954511
gsm8k,Random,5000,1,30.022744503411676
gsm8k,Random,5000,2,40.0303260045489
gsm8k,Random,10000,0,72.25170583775588
gsm8k,Random,10000,1,75.28430629264594
gsm8k,Random,10000,2,62.547384382107666
gsm8k,EMBED (RR),500,0,65.12509476876421
gsm8k,EMBED (RR),500,1,45.489006823351026
gsm8k,EMBED (RR),500,2,58.68081880212282
gsm8k,EMBED (RR),1000,0,37.45261561789234
gsm8k,EMBED (RR),1000,1,36.92191053828658
gsm8k,EMBED (RR),1000,2,37.90750568612585
gsm8k,EMBED (RR),2500,0,74.98104624715694
gsm8k,EMBED (RR),2500,1,75.66338134950719
gsm8k,EMBED (RR),2500,2,75.05686125852918
gsm8k,EMBED (RR),5000,0,75.28430629264594
gsm8k,EMBED (RR),5000,1,75.05686125852918
gsm8k,EMBED (RR),5000,2,74.98104624715694
gsm8k,EMBED (RR),10000,0,76.49734647460197
gsm8k,EMBED (RR),10000,1,74.75360121304018
gsm8k,EMBED (RR),10000,2,76.19408642911296
gsm8k,RDS+ (RR),500,0,75.28430629264594
gsm8k,RDS+ (RR),500,1,74.82941622441244
gsm8k,RDS+ (RR),500,2,74.67778620166793
gsm8k,RDS+ (RR),1000,0,75.5117513267627
gsm8k,RDS+ (RR),1000,1,74.67778620166793
gsm8k,RDS+ (RR),1000,2,74.90523123578468
gsm8k,RDS+ (RR),2500,0,76.26990144048523
gsm8k,RDS+ (RR),2500,1,76.04245640636846
gsm8k,RDS+ (RR),2500,2,74.82941622441244
gsm8k,RDS+ (RR),5000,0,77.25549658832449
gsm8k,RDS+ (RR),5000,1,75.66338134950719
gsm8k,RDS+ (RR),5000,2,76.34571645185747
gsm8k,RDS+ (RR),10000,0,76.64897649734648
gsm8k,RDS+ (RR),10000,1,75.43593631539045
gsm8k,RDS+ (RR),10000,2,76.19408642911296
gsm8k,LESS (DG),500,0,75.28430629264594
gsm8k,LESS (DG),500,1,74.82941622441244
gsm8k,LESS (DG),500,2,75.2084912812737
gsm8k,LESS (DG),1000,0,73.84382107657316
gsm8k,LESS (DG),1000,1,73.08567096285064
gsm8k,LESS (DG),1000,2,74.67778620166793
gsm8k,LESS (DG),2500,0,74.37452615617892
gsm8k,LESS (DG),2500,1,73.99545109931766
gsm8k,LESS (DG),2500,2,73.69219105382867
gsm8k,LESS (DG),5000,0,70.05307050796058
gsm8k,LESS (DG),5000,1,74.60197119029569
gsm8k,LESS (DG),5000,2,71.94844579226687
gsm8k,LESS (DG),10000,0,74.14708112206216
gsm8k,LESS (DG),10000,1,74.37452615617892
gsm8k,LESS (DG),10000,2,74.60197119029569
gsm8k,LESS (UOT),500,0,75.43593631539045
gsm8k,LESS (UOT),500,1,76.64897649734648
gsm8k,LESS (UOT),500,2,75.9666413949962
gsm8k,LESS (UOT),1000,0,75.05686125852918
gsm8k,LESS (UOT),1000,1,74.67778620166793
gsm8k,LESS (UOT),1000,2,74.29871114480667
gsm8k,LESS (UOT),2500,0,73.4647460197119
gsm8k,LESS (UOT),2500,1,72.85822592873389
gsm8k,LESS (UOT),2500,2,74.37452615617892
gsm8k,LESS (UOT),5000,0,74.60197119029569
gsm8k,LESS (UOT),5000,1,74.29871114480667
gsm8k,LESS (UOT),5000,2,74.67778620166793
gsm8k,LESS (UOT),10000,0,74.22289613343442
gsm8k,LESS (UOT),10000,1,74.67778620166793
gsm8k,LESS (UOT),10000,2,73.69219105382867
gsm8k,LESS (RR),500,0,75.89082638362396
gsm8k,LESS (RR),500,1,75.8150113722517
gsm8k,LESS (RR),500,2,74.67778620166793
gsm8k,LESS (RR),1000,0,74.22289613343442
gsm8k,LESS (RR),1000,1,74.22289613343442
gsm8k,LESS (RR),1000,2,74.14708112206216
gsm8k,LESS (RR),2500,0,74.52615617892343
gsm8k,LESS (RR),2500,1,73.76800606520091
gsm8k,LESS (RR),2500,2,72.47915087187263
gsm8k,LESS (RR),5000,0,74.29871114480667
gsm8k,LESS (RR),5000,1,73.84382107657316
gsm8k,LESS (RR),5000,2,70.9628506444276
gsm8k,LESS (RR),10000,0,74.60197119029569
gsm8k,LESS (RR),10000,1,74.45034116755117
gsm8k,LESS (RR),10000,2,74.67778620166793
gsm8k,LESS (KNN-Unif.),500,0,76.34571645185747
gsm8k,LESS (KNN-Unif.),500,1,75.8150113722517
gsm8k,LESS (KNN-Unif.),500,2,76.64897649734648
gsm8k,LESS (KNN-Unif.),1000,0,78.24109173616375
gsm8k,LESS (KNN-Unif.),1000,1,78.46853677028052
gsm8k,LESS (KNN-Unif.),1000,2,78.013646702047
gsm8k,LESS (KNN-Unif.),2500,0,73.61637604245641
gsm8k,LESS (KNN-Unif.),2500,1,74.45034116755117
gsm8k,LESS (KNN-Unif.),2500,2,73.54056103108415
gsm8k,LESS (KNN-Unif.),5000,0,73.38893100833965
gsm8k,LESS (KNN-Unif.),5000,1,70.73540561031083
gsm8k,LESS (KNN-Unif.),5000,2,73.4647460197119
gsm8k,LESS (KNN-Unif.),10000,0,74.22289613343442
gsm8k,LESS (KNN-Unif.),10000,1,74.14708112206216
gsm8k,LESS (KNN-Unif.),10000,2,74.82941622441244
gsm8k,LESS (KNN-KDE),500,0,76.26990144048523
gsm8k,LESS (KNN-KDE),500,1,77.48294162244125
gsm8k,LESS (KNN-KDE),500,2,75.73919636087946
gsm8k,LESS (KNN-KDE),1000,0,77.78620166793026
gsm8k,LESS (KNN-KDE),1000,1,77.10386656557998
gsm8k,LESS (KNN-KDE),1000,2,78.24109173616375
gsm8k,LESS (KNN-KDE),2500,0,73.99545109931766
gsm8k,LESS (KNN-KDE),2500,1,73.54056103108415
gsm8k,LESS (KNN-KDE),2500,2,71.56937073540561
gsm8k,LESS (KNN-KDE),5000,0,73.91963608794542
gsm8k,LESS (KNN-KDE),5000,1,70.58377558756634
gsm8k,LESS (KNN-KDE),5000,2,73.61637604245641
gsm8k,LESS (KNN-KDE),10000,0,74.67778620166793
gsm8k,LESS (KNN-KDE),10000,1,74.37452615617892
gsm8k,LESS (KNN-KDE),10000,2,75.2084912812737
tydiqa,Random,500,0,51.203382283118074
tydiqa,Random,500,1,50.557591649339734
tydiqa,Random,500,2,53.37760720508996
tydiqa,Random,1000,0,56.5615478194375
tydiqa,Random,1000,1,58.71902425384082
